Embedding+Model,Accuracy,F1,Recall,AUC,Train Time,Inference Time
CV+NB,0.8546,0.5095,0.4826,0.703,84.24,0.168
CV+lr,0.838345865,0.82167635,0.838345865,0.743447061,4.730202913,0.022257805
CV+svc,0.832080201,0.817915253,0.832080201,0.873381551,13.90138125,0.117627859
bangla bert+lr,0.912280702,0.906268342,0.912280702,0.914212023,14.10770178,0.005511045
bangla bert+svc,0.926065163,0.919934855,0.926065163,0.890581444,126.2875082,0.80105567
mBERT+lr,0.878446115,0.867693726,0.878446115,0.811101605,253.1723735,0.01804328
mBERT+svc,0.879699248,0.867595135,0.879699248,0.843208695,113.426378,0.976357222
