Embedding+Model,Accuracy,F1,Recall,AUC,Train Time,Inference Time
CV+NB,0.7318,0.6119,0.585,0.7,344.09,0.688
CV+lr,0.731568627,0.716700058,0.731568627,0.846831363,28.57101321,0.122885942
CV+svc,0.724313725,0.709527675,0.724313725,0.830375469,1562.043823,4.203155041
bangla bert+lr,0.812941176,0.809718618,0.812941176,0.925515792,214.4489837,0.015812159
bangla bert+svc,0.827647059,0.824250879,0.827647059,0.930349444,1972.927343,89.35386562
mBERT+lr,0.749607843,0.737801017,0.749607843,0.856983206,714.6536219,0.126687765
mBERT+svc,0.765686275,0.752939242,0.765686275,0.872003186,1574.977453,74.78565097
