Embedding+Model,Accuracy,F1,Recall,AUC,Train Time,Inference Time
CV+NB,0.8002,0.4141,0.4062,0.645,138.05,0.276
CV+lr,0.809821429,0.780043251,0.809821429,0.791339651,5.186808109,0.037650824
CV+svc,0.808035714,0.781198467,0.808035714,0.743317119,64.59310126,0.315688133
bangla bert+lr,0.841964286,0.820367373,0.841964286,0.824610098,28.94730926,0
bangla bert+svc,0.848214286,0.820604994,0.848214286,0.822190541,319.5378208,2.706630945
mBERT+lr,0.810714286,0.779059094,0.810714286,0.769681711,366.5600934,0.001032591
mBERT+svc,0.808928571,0.760124775,0.808928571,0.769336585,72.02541542,3.129968882
