Embedding+Model,Accuracy,F1,Recall,AUC,Train Time,Inference Time
CV+NB,0.867,0.3547,0.3576,0.641,89.29,0.179
CV+lr,0.869318182,0.835970608,0.869318182,0.802224061,4.713083267,0.018261671
CV+svc,0.868181818,0.838602431,0.868181818,0.792451702,27.92995501,0.193832159
bangla bert+lr,0.892045455,0.869113593,0.892045455,0.8714492,18.33511066,0.001547098
bangla bert+svc,0.893181818,0.86602803,0.893181818,0.847527693,121.2256265,1.065536261
mBERT+lr,0.8625,0.823322345,0.8625,0.808185485,274.5693686,0.000999689
mBERT+svc,0.868181818,0.816645448,0.868181818,0.798192932,37.76328683,2.080078363
