Alternative,Accuracy,F1,Recall,AUC,Train Time,Inference Time,Closeness Score,Rank
CV+lr,0.731568627,0.716700058,0.731568627,0.846831363,28.57101321,0.122885942,0.9954999961393453,1.0
bangla bert+lr,0.812941176,0.809718618,0.812941176,0.925515792,214.4489837,0.015812159,0.9588178278407434,2.0
CV+NB,0.7318,0.6119,0.585,0.7,344.09,0.688,0.929940143100972,3.0
mBERT+lr,0.749607843,0.737801017,0.749607843,0.856983206,714.6536219,0.126687765,0.857960297244305,4.0
CV+svc,0.724313725,0.709527675,0.724313725,0.830375469,1562.043823,4.203155041,0.7105201043876668,5.0
mBERT+svc,0.765686275,0.752939242,0.765686275,0.872003186,1574.977453,74.78565097,0.17192630265652695,6.0
bangla bert+svc,0.827647059,0.824250879,0.827647059,0.930349444,1972.927343,89.35386562,0.010178266821599495,7.0
Weights,0.007403020272931105,0.023708129766271787,0.030360258383630673,0.021396686194325405,0.34278840337588073,0.5743435019954499,,
