Alternative,Accuracy,F1,Recall,AUC,Train Time,Inference Time,Closeness Score,Rank
CV+lr,0.838345865,0.82167635,0.838345865,0.743447061,4.730202913,0.022257805,0.9833379810237189,1.0
bangla bert+lr,0.912280702,0.906268342,0.912280702,0.914212023,14.10770178,0.005511045,0.9752052981669772,2.0
CV+svc,0.832080201,0.817915253,0.832080201,0.873381551,13.90138125,0.117627859,0.9104183361965771,3.0
CV+NB,0.8546,0.5095,0.4826,0.703,84.24,0.168,0.75417811428941,4.0
mBERT+lr,0.878446115,0.867693726,0.878446115,0.811101605,253.1723735,0.01804328,0.528069836811892,5.0
bangla bert+svc,0.926065163,0.919934855,0.926065163,0.890581444,126.2875082,0.80105567,0.34599047717411924,6.0
mBERT+svc,0.879699248,0.867595135,0.879699248,0.843208695,113.426378,0.976357222,0.31808800022869366,7.0
Weights,0.0035048137009983135,0.0698642467065935,0.0836821287429878,0.019260547971643612,0.37961062286447406,0.44407764000370975,,
