Alternative,Accuracy,F1,Recall,AUC,Train Time,Inference Time,Closeness Score,Rank
CV+lr,0.869318182,0.835970608,0.869318182,0.802224061,4.713083267,0.018261671,0.9920335693068326,1.0
bangla bert+lr,0.892045455,0.869113593,0.892045455,0.8714492,18.33511066,0.001547098,0.9682437292610427,2.0
CV+svc,0.868181818,0.838602431,0.868181818,0.792451702,27.92995501,0.193832159,0.910154204745574,3.0
CV+NB,0.867,0.3547,0.3576,0.641,89.29,0.179,0.7844420222968019,4.0
mBERT+lr,0.8625,0.823322345,0.8625,0.808185485,274.5693686,0.000999689,0.5476251461596107,5.0
bangla bert+svc,0.893181818,0.86602803,0.893181818,0.847527693,121.2256265,1.065536261,0.5239578878382659,6.0
mBERT+svc,0.868181818,0.816645448,0.868181818,0.798192932,37.76328683,2.080078363,0.42275521928142196,7.0
Weights,0.00033852057344323656,0.11251847029219283,0.11819808128444487,0.014520702551627608,0.3494576605148175,0.40496656477613013,,
